Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
77370299R-115,2,64,2024-11-04 17:30:00,2024-11-04 17:40:00,2024-11-04 16:30:00+00:00,2024-11-04 16:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,65,2024-11-04 17:40:00,2024-11-04 17:50:00,2024-11-04 16:40:00+00:00,2024-11-04 16:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,66,2024-11-04 17:50:00,2024-11-04 18:00:00,2024-11-04 16:50:00+00:00,2024-11-04 17:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,67,2024-11-04 18:00:00,2024-11-04 18:10:00,2024-11-04 17:00:00+00:00,2024-11-04 17:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,68,2024-11-04 18:10:00,2024-11-04 18:20:00,2024-11-04 17:10:00+00:00,2024-11-04 17:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,69,2024-11-04 18:20:00,2024-11-04 18:30:00,2024-11-04 17:20:00+00:00,2024-11-04 17:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,70,2024-11-04 18:30:00,2024-11-04 18:40:00,2024-11-04 17:30:00+00:00,2024-11-04 17:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,71,2024-11-04 18:40:00,2024-11-04 18:50:00,2024-11-04 17:40:00+00:00,2024-11-04 17:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,72,2024-11-04 18:50:00,2024-11-04 19:00:00,2024-11-04 17:50:00+00:00,2024-11-04 18:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,73,2024-11-04 19:00:00,2024-11-04 19:10:00,2024-11-04 18:00:00+00:00,2024-11-04 18:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,74,2024-11-04 19:10:00,2024-11-04 19:20:00,2024-11-04 18:10:00+00:00,2024-11-04 18:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,75,2024-11-04 19:20:00,2024-11-04 19:30:00,2024-11-04 18:20:00+00:00,2024-11-04 18:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,76,2024-11-04 19:30:00,2024-11-04 19:40:00,2024-11-04 18:30:00+00:00,2024-11-04 18:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,77,2024-11-04 19:40:00,2024-11-04 19:50:00,2024-11-04 18:40:00+00:00,2024-11-04 18:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,78,2024-11-04 19:50:00,2024-11-04 20:00:00,2024-11-04 18:50:00+00:00,2024-11-04 19:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
